[TRACEID:] 2022-02-28 14:11:05.055 [background-preinit-21] INFO  o.h.validator.internal.util.Version 21 <clinit> - HV000001: Hibernate Validator 6.2.0.Final
[TRACEID:] 2022-02-28 14:11:05.064 [main-55] INFO  c.e.springboot.SpringbootApplication 55 logStarting - Starting SpringbootApplication using Java 1.8.0_201 on AC5957 with PID 30244 (E:\project-learn\springboot\target\classes started by Administrator in E:\project-learn\springboot)
[TRACEID:] 2022-02-28 14:11:05.065 [main-635] INFO  c.e.springboot.SpringbootApplication 635 logStartupProfileInfo - No active profile set, falling back to default profiles: default
[TRACEID:] 2022-02-28 14:11:06.425 [main-262] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 262 multipleStoresDetected - Multiple Spring Data modules found, entering strict repository configuration mode!
[TRACEID:] 2022-02-28 14:11:06.430 [main-132] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 132 registerRepositoriesIn - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
[TRACEID:] 2022-02-28 14:11:06.470 [main-201] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 201 registerRepositoriesIn - Finished Spring Data repository scanning in 15 ms. Found 0 Redis repository interfaces.
[TRACEID:] 2022-02-28 14:11:06.648 [main-44] WARN  o.m.s.mapper.ClassPathMapperScanner 44 warn - Cannot use both: sqlSessionTemplate and sqlSessionFactory together. sqlSessionFactory is ignored.
[TRACEID:] 2022-02-28 14:11:07.157 [main-376] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 376 postProcessAfterInitialization - Bean 'beanLifeCycleConfig' of type [com.example.springboot.beanlifecycle.BeanLifeCycleConfig$$EnhancerBySpringCGLIB$$b7091b3b] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[TRACEID:] 2022-02-28 14:11:07.617 [main-108] INFO  o.s.b.w.e.tomcat.TomcatWebServer 108 initialize - Tomcat initialized with port(s): 8080 (http)
[TRACEID:] 2022-02-28 14:11:07.632 [main-173] INFO  o.a.coyote.http11.Http11NioProtocol 173 log - Initializing ProtocolHandler ["http-nio-8080"]
[TRACEID:] 2022-02-28 14:11:07.633 [main-173] INFO  o.a.catalina.core.StandardService 173 log - Starting service [Tomcat]
[TRACEID:] 2022-02-28 14:11:07.634 [main-173] INFO  o.a.catalina.core.StandardEngine 173 log - Starting Servlet engine: [Apache Tomcat/9.0.55]
[TRACEID:] 2022-02-28 14:11:07.749 [main-173] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] 173 log - Initializing Spring embedded WebApplicationContext
[TRACEID:] 2022-02-28 14:11:07.750 [main-290] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext 290 prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 2589 ms
[TRACEID:] 2022-02-28 14:11:09.150 [main-173] INFO  o.a.coyote.http11.Http11NioProtocol 173 log - Starting ProtocolHandler ["http-nio-8080"]
[TRACEID:] 2022-02-28 14:11:09.170 [main-220] INFO  o.s.b.w.e.tomcat.TomcatWebServer 220 start - Tomcat started on port(s): 8080 (http) with context path ''
[TRACEID:] 2022-02-28 14:11:09.181 [main-61] INFO  c.e.springboot.SpringbootApplication 61 logStarted - Started SpringbootApplication in 5.529 seconds (JVM running for 8.116)
